CODE_MUNI_7,YEAR,CASES
1101484,2021,4
1101484,2022,125
1101484,2023,97
1101484,2024,122
1101492,2010,352
1101492,2011,199
1101492,2012,91
1101492,2013,436
1101492,2014,70
1101492,2015,346
1101492,2016,545
1101492,2017,34
1101492,2018,7
1101492,2019,16
1101492,2020,90
1101492,2021,64
1101492,2022,330
1101492,2023,363
1101492,2024,44
1101500,2010,91
1101500,2011,47
1101500,2012,54
1101500,2013,316
1101500,2014,67
1101500,2015,44
1101500,2016,104
1101500,2017,22
1101500,2018,25
1101500,2019,0
1101500,2020,0
1101500,2021,110
1101500,2022,558
1101500,2023,73
1101500,2024,84
1101559,2010,147
1101559,2011,1
1101559,2012,16
1101559,2013,34
1101559,2014,0
1101559,2015,12
1101559,2016,15
1101559,2017,3
1101559,2018,3
1101559,2019,1
1101559,2020,1
1101559,2021,17
1101559,2022,131
1101559,2023,30
1101559,2024,71
1101609,2010,26
1101609,2011,1
1101609,2012,3
1101609,2013,12
1101609,2014,9
1101609,2015,2
1101609,2016,21
1101609,2017,5
1101609,2018,11
1101609,2019,0
1101609,2020,28
1101609,2021,4
1101609,2022,17
1101609,2023,81
1101609,2024,41
1101708,2010,236
1101708,2011,164
1101708,2012,30
1101708,2013,98
1101708,2014,113
1101708,2015,78
1101708,2016,34
1101708,2017,13
1101708,2018,0
1101708,2019,0
1101708,2020,1
1101708,2021,22
1101708,2022,46
1101708,2023,29
1101708,2024,21
1101757,2010,22
1101757,2011,3
1101757,2012,3
1101757,2013,61
1101757,2014,1
1101757,2015,4
1101757,2016,136
1101757,2017,44
1101757,2018,5
1101757,2019,7
1101757,2020,37
1101757,2021,3
1101757,2022,31
1101757,2023,78
1101757,2024,103
1101807,2010,11
1101807,2011,2
1101807,2012,3
1101807,2013,3
1101807,2014,0
1101807,2015,4
1101807,2016,99
1101807,2017,80
1101807,2018,19
1101807,2019,8
1101807,2020,16
1101807,2021,7
1101807,2022,147
1101807,2023,73
1101807,2024,91
1200013,2010,643
1200013,2011,199
1200013,2012,74
1200013,2013,579
1200013,2014,16
1200013,2015,9
1200013,2016,52
1200013,2017,216
1200013,2018,112
1200013,2019,12
1200013,2020,52
1200013,2021,317
1200013,2022,8
1200013,2023,173
1200013,2024,50
1200054,2010,389
1200054,2011,143
1200054,2012,82
1200054,2013,141
1200054,2014,28
1200054,2015,11
1200054,2016,512
1200054,2017,13
1200054,2018,15
1200054,2019,262
1200054,2020,406
1200054,2021,583
1200054,2022,271
1200054,2023,796
1200054,2024,494
1200104,2010,946
1200104,2011,352
1200104,2012,1085
1200104,2013,557
1200104,2014,135
1200104,2015,169
1200104,2016,431
1200104,2017,271
1200104,2018,249
1200104,2019,509
1200104,2020,1001
1200104,2021,839
1200104,2022,221
1200104,2023,1667
1200104,2024,1531
1200138,2010,6
1200138,2011,7
1200138,2012,10
1200138,2013,11
1200138,2014,3
1200138,2015,0
1200138,2016,5
1200138,2017,0
1200138,2018,33
1200138,2019,0
1200138,2020,14
1200138,2021,228
1200138,2022,7
1200138,2023,186
1200138,2024,3
1200179,2010,175
1200179,2011,291
1200179,2012,29
1200179,2013,150
1200179,2014,25
1200179,2015,13
1200179,2016,60
1200179,2017,58
1200179,2018,25
1200179,2019,81
1200179,2020,4
1200179,2021,156
1200179,2022,16
1200179,2023,249
1200179,2024,8
1200203,2010,83
1200203,2011,130
1200203,2012,35
1200203,2013,51
1200203,2014,31589
1200203,2015,8554
1200203,2016,1578
1200203,2017,2116
1200203,2018,3105
1200203,2019,6809
1200203,2020,5819
1200203,2021,5067
1200203,2022,4514
1200203,2023,5361
1200203,2024,7196
1200252,2010,79
1200252,2011,36
1200252,2012,100
1200252,2013,66
1200252,2014,8
1200252,2015,35
1200252,2016,165
1200252,2017,86
1200252,2018,42
1200252,2019,39
1200252,2020,90
1200252,2021,39
1200252,2022,5
1200252,2023,80
1200252,2024,91
1200302,2010,0
1200302,2011,244
1200302,2012,22
1200302,2013,4
1200302,2014,9
1200302,2015,4
1200302,2016,14
1200302,2017,0
1200302,2018,1371
1200302,2019,5
1200302,2020,59
1200302,2021,648
1200302,2022,300
1200302,2023,822
1200302,2024,256
1200328,2010,1
1200328,2011,0
1200328,2012,0
1200328,2013,1
1200328,2014,0
1200328,2015,0
1200328,2016,1
1200328,2017,0
1200328,2018,0
1200328,2019,0
1200328,2020,0
1200328,2021,1
1200328,2022,0
1200328,2023,0
1200328,2024,0
1200336,2010,1
1200336,2011,3
1200336,2012,0
1200336,2013,1
1200336,2014,55
1200336,2015,21
1200336,2016,5
1200336,2017,13
1200336,2018,680
1200336,2019,506
1200336,2020,736
1200336,2021,573
1200336,2022,168
1200336,2023,297
1200336,2024,369
1200344,2010,0
1200344,2011,0
1200344,2012,0
1200344,2013,2
1200344,2014,6
1200344,2015,14
1200344,2016,19
1200344,2017,5
1200344,2018,223
1200344,2019,9
1200344,2020,11
1200344,2021,305
1200344,2022,36
1200344,2023,339
1200344,2024,6
1200351,2010,0
1200351,2011,0
1200351,2012,1
1200351,2013,0
1200351,2014,0
1200351,2015,0
1200351,2016,1
1200351,2017,0
1200351,2018,6
1200351,2019,24
1200351,2020,578
1200351,2021,530
1200351,2022,169
1200351,2023,29
1200351,2024,444
1200385,2010,38
1200385,2011,29
1200385,2012,359
1200385,2013,433
1200385,2014,103
1200385,2015,31
1200385,2016,164
1200385,2017,312
1200385,2018,772
1200385,2019,192
1200385,2020,73
1200385,2021,727
1200385,2022,17
1200385,2023,548
1200385,2024,238
1200393,2010,0
1200393,2011,0
1200393,2012,0
1200393,2013,0
1200393,2014,26
1200393,2015,0
1200393,2016,0
1200393,2017,0
1200393,2018,3
1200393,2019,0
1200393,2020,22
1200393,2021,41
1200393,2022,172
1200393,2023,110
1200393,2024,365
1200401,2010,38775
1200401,2011,27248
1200401,2012,6873
1200401,2013,5946
1200401,2014,4427
1200401,2015,4466
1200401,2016,5780
1200401,2017,2304
1200401,2018,4464
1200401,2019,4375
1200401,2020,2959
1200401,2021,11731
1200401,2022,1733
1200401,2023,13631
1200401,2024,9017
1200427,2010,0
1200427,2011,0
1200427,2012,1
1200427,2013,2
1200427,2014,103
1200427,2015,56
1200427,2016,7
1200427,2017,27
1200427,2018,109
1200427,2019,983
1200427,2020,564
1200427,2021,465
1200427,2022,336
1200427,2023,233
1200427,2024,474
1200435,2010,0
1200435,2011,1
1200435,2012,0
1200435,2013,1
1200435,2014,1
1200435,2015,0
1200435,2016,0
1200435,2017,0
1200435,2018,0
1200435,2019,1
1200435,2020,1
1200435,2021,0
1200435,2022,0
1200435,2023,3
1200435,2024,0
1200450,2010,440
1200450,2011,640
1200450,2012,267
1200450,2013,253
1200450,2014,106
1200450,2015,79
1200450,2016,78
1200450,2017,67
1200450,2018,357
1200450,2019,239
1200450,2020,225
1200450,2021,305
1200450,2022,43
1200450,2023,1161
1200450,2024,201
1200500,2010,493
1200500,2011,347
1200500,2012,37
1200500,2013,371
1200500,2014,144
1200500,2015,36
1200500,2016,65
1200500,2017,42
1200500,2018,1204
1200500,2019,266
1200500,2020,109
1200500,2021,1525
1200500,2022,403
1200500,2023,1485
1200500,2024,325
1200609,2010,0
1200609,2011,9
1200609,2012,4
1200609,2013,15
1200609,2014,0
1200609,2015,0
1200609,2016,0
1200609,2017,6
1200609,2018,400
1200609,2019,1996
1200609,2020,868
1200609,2021,4045
1200609,2022,150
1200609,2023,451
1200609,2024,418
1200708,2010,425
1200708,2011,308
1200708,2012,102
1200708,2013,376
1200708,2014,35
1200708,2015,154
1200708,2016,277
1200708,2017,214
1200708,2018,165
1200708,2019,727
1200708,2020,251
1200708,2021,925
1200708,2022,44
1200708,2023,626
1200708,2024,66
1200807,2010,130
1200807,2011,53
1200807,2012,15
1200807,2013,38
1200807,2014,6
1200807,2015,14
1200807,2016,10
1200807,2017,1
1200807,2018,87
1200807,2019,7
1200807,2020,337
1200807,2021,140
1200807,2022,6
1200807,2023,443
1200807,2024,55
1300029,2010,6
1300029,2011,38
1300029,2012,0
1300029,2013,0
1300029,2014,18
1300029,2015,52
1300029,2016,4
1300029,2017,6
1300029,2018,1
1300029,2019,3
1300029,2020,8
1300029,2021,37
1300029,2022,406
1300029,2023,535
